{52, 41, 57, 82, 64, 38, 82, 26, 5, 18, 2, 91, 3, 40, 14, 84, 82, 8, 16, 63, 83, 95, 43, 60, 54}
{16, 68, 34, 25, 11, 37, 55, 92, 39, 60, 32, 36, 97, 29, 51, 37, 98, 50, 63, 50, 88, 79, 76, 4, 82}
{28, 88, 39, 63, 39, 93, 31, 59, 7, 70, 52, 80, 35, 77, 4, 73, 51, 5, 70, 33, 14, 29, 78, 69, 45}
{31, 46, 53, 89, 2, 49, 64, 26, 51, 12, 26, 16, 4, 34, 22, 11, 50, 19, 97, 94, 75, 33, 44, 38, 88}
{77, 87, 49, 89, 47, 7, 75, 24, 82, 6, 29, 68, 95, 77, 95, 35, 7, 30, 87, 2, 93, 73, 3, 35, 16}
{95, 13, 93, 50, 8, 48, 86, 97, 40, 76, 50, 15, 69, 60, 23, 42, 87, 92, 27, 85, 20, 6, 60, 58, 75}
{54, 76, 95, 31, 52, 85, 8, 55, 67, 32, 18, 28, 43, 73, 80, 9, 86, 49, 48, 83, 64, 69, 4, 57, 46}
{48, 75, 2, 12, 11, 89, 26, 43, 14, 16, 98, 70, 21, 21, 88, 32, 10, 57, 36, 30, 13, 71, 68, 4, 8}
{70, 59, 7, 54, 48, 37, 6, 92, 58, 55, 83, 94, 41, 26, 66, 30, 23, 99, 59, 88, 18, 87, 35, 33, 18}
{10, 22, 74, 78, 30, 63, 46, 22, 58, 64, 26, 16, 77, 29, 17, 78, 34, 43, 14, 30, 84, 40, 82, 39, 11}
